Job Title,Company Name,Location,Salary,Experience,Job Description
IT Operations Project Manager  in  FRANCE,Cloud Visa Immigration LLP,Delhi,Rs 46  - 50 Lakh/Yr,6 to 11 Yrs,"The IT Operations Project Manager is responsible for planning, executing, and overseeing IT operations projects to ensure they are completed on time, within scope, and within budget. | This role involves managing project teams, coordinating with various stakeholders, and ensuring the seamless delivery of IT solutions and services that meet organizational objectives. | Develop detailed project plans, including scope, timeline, resources, and budget. | Coordinate and manage all project activities, ensuring adherence to project schedules and milestones. | Allocate and manage resources effectively, including personnel, technology, and budget. | Work with procurement teams to acquire necessary tools, equipment, and services. | Implement quality control processes to ensure that project deliverables meet established standards and requirements. | Conduct project reviews and assessments to evaluate performance and identify areas for improvement."
Urgent requirement for Account Manager - IT Recruitment Consulting Firm,Shell Info Technologies Pvt. Ltd.,Hyderabad,Not Disclosed,6 to 8 Yrs,No Description Available
Junior It Developer,Rubeena Shailkh,Hyderabad,Not Disclosed,0 Yrs,No Description Available
Position Assistant VP (IT ARCHITECT)- MUMBAI,T AND M SERVICES CONSULTING PVT.LTD.,Mumbai City,Rs 20  - 30 Lakh/Yr,8 to 13 Yrs,Title: Assistant Vice President - IT Architect (27 Positions) | Type: 3-Year Contract (Extendable by 2 Years) | Location: Navi Mumbai | Age Limit: Up to 42 years | Salary: Up to 35 Lakhs per annum
It Trainer,CSURE PLACEMENTS & TRAINING SERVICES PRIVATE LIMITED,Kolkata,Rs 5  - 6 Lakh/Yr,3 to 5 Yrs,No Description Available
"Business Development Executive ( IT , Sales  )",Skywings Advisors Private Limited,Mumbai City,Rs 4.0  - 8 Lakh/Yr,2 to 7 Yrs,No Description Available
It Coordinator,KVEETECH ENTERPRISES,Kalyan,Rs 1.5  - 3.0 Lakh/Yr,2 to 4 Yrs,Installation and configuration:Install and configure software and hardware | Troubleshooting:Troubleshoot issues with computer and network systems | Training:Provide technical support and training to end users | Monitoring:Monitor system and network performance | Compliance:Ensure compliance with IT standards and functionality | Collaboration:Collaborate with other professionals | Protocol development:Develop protocols for IT use across departments and projects | Database administration:Work with database admins to ensure network security | Helpdesk:Address helpdesk tickets and assign technical staff to deal with issues
Domestic IT Recruiter -1- 3 Yrs,NexWave Talent Management Solutions Pvt. Ltd.,Hyderabad,Rs 2.5  - 3.5 Lakh/Yr,1 to 4 Yrs,Minimum 1 year of experience in IT recruitment | Must be excellent in communication skills | Candidates must be very strong in sourcing skills and have good exposure to IT skill sets | Must have a thorough understanding of the end-to-end recruitment process | Must be good at handling job boards and social media for recruiting the right candidate. | CompletelyWORK FROM OFFICE.
Urgent Hiring for NON IT Recruiter l Ahmedabad l RPO Model l 6 days l WFO,Flexi Ventures Pvt. Ltd.,Ahmedabad,Not Disclosed,2 to 7 Yrs,No Description Available
It Sales Manager,HI TECH INFORMATICS PVT. LTD,Bangalore,Rs 12 Lakh/Yr,10 to 17 Yrs,No Description Available
IT HELP Desk Bangalore 6.2lpa,WHITE HORSE MANPOWER CONSULTANCY (P) LTD,Bangalore,Rs 3.0  - 6 Lakh/Yr,1 to 5 Yrs,"Having Overall 1 years of experience in design, Implementation, Installation, and managing of LAN, and WAN Network. | Experience Creating User and Groups with Special Permissions. | Hands on Experience of Configuring Security Policies for Domain and Service Level. | Worked on installing and configuring VPN access on client machines. | Work on MBM ,Bit locker for providing the key for the user to unlock machines. | Worked on Blue screen error incidents | Worked on incidents related to MS office and office 365 installation and configuration | Experience on Network Monitoring. | Experience on Manage the Setup Configuration of System. | Day-to-day managing of Domain Controller. | Knowledge on Designing new Computer System Framework. | Experience Troubleshooting Hardware and Software Issues. | Proficiency Installing and Configuring network equipment. | Manage and support Server. Windows Server 2016."
US IT Recruiter,personal requirement,Hyderabad,Not Disclosed,6 to 10 Yrs,No Description Available
Livekeeping Technologies - IT Administrator,Livekeeping Technologies Pvt Ltd.,Noida,Not Disclosed,2 to 6 Yrs,No Description Available
Lead - IT Services Sourcing,Airtel India,Other Haryana,Not Disclosed,6 to 10 Yrs,No Description Available
IT Project Manager,Vaamoz Online Private Limited,All India,Not Disclosed,5 to 9 Yrs,No Description Available
Bajaj Allianz - Vice President/Head - IT Infrastructure,Bajaj Allianz Life Insurance Company Ltd,Other Maharashtra,Not Disclosed,10 to 14 Yrs,No Description Available
IT Support Analyst,athenahealth,Chennai,Not Disclosed,1 to 5 Yrs,No Description Available
Senior Software Engineer - IT Compliance T500-10066,Bristol Myers Squibb,Hyderabad,Not Disclosed,6 to 10 Yrs,No Description Available
US IT SALES,Plaxonic,Noida,Not Disclosed,3 to 7 Yrs,No Description Available
IT project Manager,Burns & McDonnell India,Other Maharashtra,Not Disclosed,4 to 8 Yrs,No Description Available
IT Support Engineer - Ticketing System,MNR Solutions Pvt. Ltd.,Chennai,Not Disclosed,3 to 7 Yrs,No Description Available
IT Recruiter (Enterprise saas),Nimesa,Other Karnataka,Not Disclosed,0 to 3 Yrs,No Description Available
IT Administrators JAIPUR  FULL-TIME,Webcontxt,Jaipur,Not Disclosed,2 to 6 Yrs,No Description Available
Senior IT Auditor- Curaao,EY,Other Haryana,Not Disclosed,2 to 6 Yrs,No Description Available
IT Network & Security Manager,Onx Homes,Other Karnataka,Not Disclosed,8 to 12 Yrs,No Description Available
IT System Administrator,Saleshandy,Other Gujarat,Not Disclosed,2 to 6 Yrs,No Description Available
Business Development Manager - Enterprise IT Sales,My Placement Management Consultants,Other Maharashtra,Not Disclosed,5 to 9 Yrs,No Description Available
IT Recruiter (Domestic),Intelliest Technology Pvt. Ltd.,Other West Bengal,Not Disclosed,2 to 6 Yrs,No Description Available
IT Support Specialist and Office Admin,BeyondeBiz Consulting Pvt Ltd,All India,Not Disclosed,1 to 5 Yrs,No Description Available
IT Sales- Executive,Latent,Other Maharashtra,Not Disclosed,3 to 7 Yrs,No Description Available
IT Support Specialist,Hilti India,Other Haryana,Not Disclosed,1 to 5 Yrs,No Description Available
HR (IT Recruitment Specialist),intellinez,Other Punjab,Not Disclosed,2 to 6 Yrs,No Description Available
